,subject,congruency,rt,acc,task
75,1,incongruent,0.484587289,1,flanker
76,1,congruent,0.334656902,1,flanker
77,1,congruent,0.45133425899999996,1,flanker
78,1,incongruent,0.451463351,1,flanker
79,1,incongruent,0.40145376299999996,1,flanker
80,1,incongruent,0.785052375,1,flanker
81,1,incongruent,0.401439349,1,flanker
82,1,incongruent,0.618376038,1,flanker
83,1,incongruent,0.367933358,1,flanker
84,1,congruent,0.384714349,1,flanker
85,1,incongruent,0.401421201,1,flanker
86,1,congruent,0.501371597,1,flanker
87,1,incongruent,0.317981919,1,flanker
88,1,incongruent,0.434750471,1,flanker
89,1,congruent,0.468100028,1,flanker
90,1,incongruent,0.418056492,1,flanker
91,1,incongruent,0.434819131,1,flanker
92,1,incongruent,0.38474295799999997,1,flanker
93,1,incongruent,0.36799121300000004,1,flanker
94,1,incongruent,0.384768595,1,flanker
95,1,congruent,0.317990245,1,flanker
96,1,congruent,0.318032131,1,flanker
97,1,congruent,0.351305045,1,flanker
98,1,congruent,0.31789507,1,flanker
99,1,congruent,0.401367605,1,flanker
100,1,congruent,0.301296206,1,flanker
101,1,congruent,0.267978084,1,flanker
102,1,congruent,0.40135664600000004,1,flanker
103,1,incongruent,0.368006549,0,flanker
104,1,congruent,0.351274347,1,flanker
105,1,incongruent,0.384751287,0,flanker
106,1,incongruent,0.468077558,1,flanker
107,1,congruent,0.45151637899999997,1,flanker
108,1,congruent,0.368040418,1,flanker
109,1,incongruent,0.418106649,1,flanker
110,1,congruent,0.334637983,1,flanker
111,1,congruent,0.334647211,1,flanker
112,1,congruent,0.518266228,1,flanker
113,1,incongruent,0.468122295,1,flanker
114,1,incongruent,0.384570576,1,flanker
115,1,congruent,0.434750121,1,flanker
116,1,incongruent,0.368047647,0,flanker
117,1,congruent,0.401424616,1,flanker
118,1,congruent,0.451490414,1,flanker
119,1,congruent,0.45146405,1,flanker
120,1,incongruent,0.484859353,1,flanker
121,1,congruent,0.46819467600000003,1,flanker
122,1,incongruent,0.384746462,1,flanker
123,1,incongruent,0.5516846900000001,1,flanker
124,1,incongruent,0.5349030229999999,1,flanker
125,1,incongruent,0.518168546,1,flanker
126,1,congruent,0.50157323,1,flanker
127,1,congruent,0.401415633,1,flanker
128,1,congruent,0.418086229,1,flanker
129,1,incongruent,0.501472517,1,flanker
130,1,incongruent,0.45148507,1,flanker
131,1,incongruent,0.40144571,1,flanker
132,1,congruent,0.46815889299999996,1,flanker
133,1,incongruent,0.45144885,1,flanker
134,1,incongruent,0.45142062,1,flanker
135,1,incongruent,0.46819719800000004,1,flanker
136,1,congruent,0.33455195800000004,1,flanker
137,1,congruent,0.26795487300000004,1,flanker
138,1,incongruent,0.41802952299999996,1,flanker
139,1,incongruent,0.401348279,1,flanker
140,1,congruent,0.6517136410000001,1,flanker
141,1,congruent,0.401401832,1,flanker
142,1,congruent,0.334652004,1,flanker
143,1,congruent,0.401410726,1,flanker
144,1,incongruent,0.468166805,1,flanker
145,1,congruent,0.368040573,1,flanker
146,1,incongruent,0.46808926100000003,1,flanker
147,1,incongruent,0.418075922,1,flanker
148,1,congruent,0.38472693500000005,1,flanker
149,1,incongruent,0.384598544,1,flanker
150,1,incongruent,0.434824321,1,flanker
151,1,incongruent,0.434795205,1,flanker
152,1,incongruent,0.66822789,1,flanker
153,1,incongruent,0.384672136,1,flanker
154,1,congruent,0.401377954,1,flanker
155,1,congruent,0.384713773,1,flanker
156,1,congruent,0.4014142,1,flanker
157,1,incongruent,0.401410617,1,flanker
158,1,congruent,0.401436609,1,flanker
159,1,congruent,0.401463544,1,flanker
160,1,congruent,0.40126419199999996,1,flanker
161,1,congruent,0.351347445,1,flanker
162,1,incongruent,0.401409167,1,flanker
163,1,incongruent,0.367973121,1,flanker
164,1,congruent,0.368067561,1,flanker
165,1,congruent,0.401355069,1,flanker
166,1,incongruent,0.401408188,1,flanker
167,1,congruent,0.38465627799999996,1,flanker
168,1,congruent,0.3680168,1,flanker
169,1,congruent,0.33468058500000003,1,flanker
170,1,incongruent,0.40141203999999997,1,flanker
171,1,incongruent,0.468104799,1,flanker
172,1,congruent,0.367995087,1,flanker
173,1,congruent,0.367908581,1,flanker
174,1,incongruent,0.35132629600000004,0,flanker
175,1,congruent,0.501565753,1,flanker
176,1,congruent,0.384706082,1,flanker
177,1,congruent,0.401438695,1,flanker
178,1,congruent,0.418101069,1,flanker
179,1,incongruent,0.651684367,1,flanker
180,1,congruent,0.48481735099999995,1,flanker
181,1,congruent,0.451502608,1,flanker
182,1,congruent,0.43482387,1,flanker
183,1,congruent,0.418142506,1,flanker
184,1,congruent,0.418081846,1,flanker
185,1,incongruent,0.367914645,1,flanker
186,1,incongruent,0.451516587,1,flanker
187,1,congruent,0.46821754099999996,1,flanker
188,1,congruent,0.41796970499999997,1,flanker
189,1,incongruent,0.434747032,1,flanker
190,1,incongruent,0.451397372,1,flanker
191,1,incongruent,0.434829576,1,flanker
192,1,congruent,0.384616674,1,flanker
193,1,incongruent,0.50154427,1,flanker
194,1,incongruent,0.48486803500000003,1,flanker
195,1,incongruent,0.401382185,1,flanker
196,1,incongruent,0.45135239,1,flanker
197,1,incongruent,0.41805580200000003,1,flanker
198,1,incongruent,0.568308675,0,flanker
199,1,congruent,0.518194106,1,flanker
200,1,congruent,0.401445875,1,flanker
201,1,congruent,0.36802547700000005,1,flanker
202,1,incongruent,0.43479145,1,flanker
