"subject","task","block","trial","congruency","acc","rt"
"4","flanker",1,1,"incongruent",1,0.8910065
"4","flanker",1,2,"incongruent",1,0.9380035
"4","flanker",1,3,"incongruent",1,0.8110046
"4","flanker",1,4,"congruent",1,0.7910004
"4","flanker",1,5,"congruent",1,0.7840042
"4","flanker",1,6,"congruent",1,0.685997
"4","flanker",1,7,"congruent",1,0.7689972
"4","flanker",1,8,"incongruent",1,0.677002
"4","flanker",1,9,"incongruent",1,1.222
"4","flanker",1,10,"congruent",1,0.7550049
"4","flanker",1,11,"congruent",1,0.7590027
"4","flanker",1,12,"incongruent",1,0.7699966
"4","flanker",2,1,"incongruent",1,1.038002
"4","flanker",2,2,"incongruent",1,1.272003
"4","flanker",2,3,"congruent",1,0.6609955
"4","flanker",2,4,"congruent",1,1.013
"4","flanker",2,5,"congruent",1,0.8919983
"4","flanker",2,6,"congruent",1,0.6459961
"4","flanker",2,7,"congruent",1,0.6719971
"4","flanker",2,8,"congruent",1,0.6430054
"4","flanker",2,9,"incongruent",1,0.8990021
"4","flanker",2,10,"congruent",1,0.7690125
"4","flanker",2,11,"incongruent",1,0.9470062
"4","flanker",3,1,"congruent",1,0.7600098
"4","flanker",3,2,"congruent",1,0.6699982
"4","flanker",3,3,"congruent",1,0.9230042
"4","flanker",3,4,"incongruent",1,0.7740021
"4","flanker",3,5,"incongruent",1,0.7740021
"4","flanker",3,6,"incongruent",1,0.6549988
"4","flanker",3,7,"congruent",1,0.6560059
"4","flanker",3,8,"incongruent",1,1.160004
"4","flanker",3,9,"congruent",1,0.6549988
"4","flanker",3,10,"congruent",1,0.7470093
"4","flanker",3,11,"incongruent",1,0.7819977
"4","flanker",3,12,"congruent",1,0.9100037
"4","flanker",4,1,"incongruent",1,0.9279785
"4","flanker",4,2,"incongruent",1,0.9190063
"4","flanker",4,3,"congruent",1,0.7799988
"4","flanker",4,4,"incongruent",1,0.7640076
"4","flanker",4,5,"incongruent",1,1.010986
"4","flanker",4,6,"incongruent",1,0.894989
"4","flanker",4,7,"congruent",1,0.6560059
"4","flanker",4,8,"incongruent",1,0.7770081
"4","flanker",4,9,"incongruent",1,0.8940125
"4","flanker",4,10,"incongruent",1,0.9170227
"4","flanker",4,11,"incongruent",1,0.7990112
"4","flanker",4,12,"incongruent",1,0.901001
"4","flanker",5,1,"incongruent",1,1.005981
"4","flanker",5,2,"incongruent",1,0.7669983
"4","flanker",5,3,"incongruent",1,0.8859863
"4","flanker",5,4,"congruent",1,0.6439819
"4","flanker",5,5,"incongruent",1,0.875
"4","flanker",5,6,"congruent",1,0.6839905
"4","flanker",5,7,"congruent",1,1.515991
"4","flanker",5,9,"incongruent",1,0.8800049
"4","flanker",5,10,"incongruent",1,0.9070129
"4","flanker",5,11,"incongruent",1,0.7630005
"4","flanker",5,12,"incongruent",1,0.8819885
"4","flanker",6,1,"incongruent",1,0.8039856
"4","flanker",6,2,"incongruent",1,0.7490234
"4","flanker",6,3,"congruent",1,0.7459717
"4","flanker",6,4,"incongruent",1,0.6419983
"4","flanker",6,5,"incongruent",1,0.6570129
"4","flanker",6,6,"incongruent",1,1.008026
"4","flanker",6,7,"congruent",1,0.8730164
"4","flanker",6,8,"incongruent",1,0.6919861
"4","flanker",6,9,"congruent",1,0.8769836
"4","flanker",6,10,"congruent",1,0.7520142
"4","flanker",6,11,"congruent",1,0.6529846
"4","flanker",6,12,"congruent",1,0.7569885
"4","flanker",7,1,"congruent",1,0.7749939
"4","flanker",7,2,"congruent",1,0.6380005
"4","flanker",7,3,"congruent",1,0.6380005
"4","flanker",7,4,"congruent",1,0.7770081
"4","flanker",7,5,"incongruent",1,0.6549988
"4","flanker",7,6,"congruent",1,1.011993
"4","flanker",7,7,"incongruent",1,0.7689819
"4","flanker",7,8,"incongruent",1,0.6210327
"4","flanker",7,9,"incongruent",1,0.7860107
"4","flanker",7,10,"incongruent",1,0.7439575
"4","flanker",7,11,"congruent",1,1.008972
"4","flanker",7,12,"congruent",1,0.6340332
"4","flanker",8,1,"congruent",1,0.8840332
"4","flanker",8,2,"congruent",1,0.776001
"4","flanker",8,3,"incongruent",1,0.7969971
"4","flanker",8,4,"incongruent",1,0.7509766
"4","flanker",8,5,"congruent",1,0.7680054
"4","flanker",8,6,"incongruent",1,0.7659912
"4","flanker",8,7,"congruent",1,0.625
"4","flanker",8,8,"incongruent",1,0.8709717
"4","flanker",8,9,"congruent",1,0.6569824
"4","flanker",8,10,"incongruent",1,0.8840332
"4","flanker",8,11,"incongruent",1,1.013
"4","flanker",8,12,"congruent",1,0.75
"4","flanker",9,1,"congruent",1,0.625
"4","flanker",9,2,"incongruent",1,0.6420288
"4","flanker",9,3,"incongruent",1,0.776001
"4","flanker",9,4,"congruent",1,0.6389771
"4","flanker",9,5,"congruent",1,0.6220093
"4","flanker",9,6,"incongruent",1,0.6420288
"4","flanker",9,8,"incongruent",1,0.9089966
"4","flanker",9,9,"congruent",1,0.7650146
"4","flanker",9,11,"incongruent",1,0.8670044
"4","flanker",9,12,"congruent",1,1.014038
"4","flanker",10,1,"incongruent",1,0.7680054
"4","flanker",10,2,"incongruent",1,0.7659912
"4","flanker",10,3,"congruent",1,0.6630249
"4","flanker",10,4,"congruent",1,0.6270142
"4","flanker",10,5,"incongruent",1,0.6470337
"4","flanker",10,6,"incongruent",1,0.6430054
"4","flanker",10,7,"incongruent",1,0.8880005
"4","flanker",10,8,"incongruent",1,0.7509766
"4","flanker",10,9,"congruent",1,0.7369995
"4","flanker",10,10,"congruent",1,0.6970215
"4","flanker",10,11,"incongruent",1,0.8590088
"4","flanker",10,12,"incongruent",1,0.7469482
"4","flanker",11,1,"incongruent",1,0.7399902
"4","flanker",11,2,"incongruent",1,0.6290283
"4","flanker",11,3,"congruent",1,0.80896
"4","flanker",11,4,"congruent",1,0.6220093
"4","flanker",11,5,"incongruent",1,0.7540283
"4","flanker",11,6,"incongruent",1,0.9429932
"4","flanker",11,7,"incongruent",1,0.875
"4","flanker",11,8,"incongruent",1,0.75
"4","flanker",11,9,"incongruent",1,0.822998
"4","flanker",11,10,"congruent",1,0.7919922
"4","flanker",11,11,"congruent",1,0.7789917
"4","flanker",11,12,"incongruent",1,0.7399902
"4","flanker",12,1,"incongruent",1,0.7460327
"4","flanker",12,2,"incongruent",1,0.7790527
"4","flanker",12,3,"incongruent",1,1.138977
"4","flanker",12,4,"incongruent",1,0.7640381
"4","flanker",12,5,"incongruent",1,0.769043
"4","flanker",12,6,"congruent",1,0.756958
"4","flanker",12,7,"congruent",1,0.8830566
"4","flanker",12,8,"incongruent",1,0.6739502
"4","flanker",12,9,"incongruent",1,0.7439575
"4","flanker",12,10,"incongruent",1,0.6550293
"4","flanker",12,11,"incongruent",1,0.6410522
"4","flanker",12,12,"congruent",1,0.7350464
"4","flanker",13,1,"congruent",1,0.6710205
"4","flanker",13,2,"congruent",1,0.65802
"4","flanker",13,3,"congruent",1,0.6699829
"4","flanker",13,4,"congruent",1,0.6470337
"4","flanker",13,5,"congruent",1,0.6459961
"4","flanker",13,6,"congruent",1,0.6449585
"4","flanker",13,7,"congruent",1,0.7669678
"4","flanker",13,8,"congruent",1,0.7539673
"4","flanker",13,9,"congruent",1,0.6640015
"4","flanker",13,10,"congruent",1,0.7380371
"4","flanker",13,11,"incongruent",1,0.9170532
"4","flanker",13,12,"congruent",1,0.7560425
"4","flanker",14,1,"incongruent",1,0.6799927
"4","flanker",14,2,"congruent",1,0.875
"4","flanker",14,3,"congruent",1,0.7470093
"4","flanker",14,4,"incongruent",1,0.7839966
"4","flanker",14,5,"congruent",1,0.6370239
"4","flanker",14,6,"incongruent",1,0.901001
"4","flanker",14,7,"congruent",1,0.8850098
"4","flanker",14,8,"incongruent",1,0.6449585
"4","flanker",14,9,"incongruent",1,0.7460327
"4","flanker",14,10,"incongruent",1,0.8839722
"4","flanker",14,12,"congruent",1,0.7820435
"4","flanker",15,1,"incongruent",1,0.9020386
"4","flanker",15,2,"incongruent",1,1.54303
"4","flanker",15,3,"congruent",1,0.6420288
"4","flanker",15,4,"incongruent",1,0.7490234
"4","flanker",15,6,"congruent",1,0.7589722
"4","flanker",15,7,"incongruent",1,0.7719727
"4","flanker",15,8,"incongruent",1,0.7460327
"4","flanker",15,10,"congruent",1,0.894043
"4","flanker",15,11,"congruent",1,0.7730103
"4","flanker",15,12,"incongruent",1,0.757019
"4","flanker",16,1,"congruent",1,0.7479858
"4","flanker",16,2,"incongruent",1,0.6610107
"4","flanker",16,3,"congruent",1,0.6339722
"4","flanker",16,4,"incongruent",1,0.7630005
"4","flanker",16,5,"congruent",1,0.6199951
"4","flanker",16,6,"incongruent",1,0.8239746
"4","flanker",16,7,"congruent",1,0.7420044
"4","flanker",16,8,"congruent",1,0.677002
"4","flanker",16,9,"incongruent",1,0.7689819
"4","flanker",16,10,"incongruent",1,0.8789673
"4","flanker",16,11,"congruent",1,0.7470093
"4","flanker",16,12,"congruent",1,0.6849976
"4","flanker",0,1,"congruent",1,0.9060059
"4","flanker",0,2,"congruent",1,0.8950195
"4","flanker",0,3,"congruent",1,0.6699219
"4","flanker",0,4,"congruent",1,1.028931
"4","flanker",0,5,"incongruent",1,0.8950195
"4","flanker",0,6,"incongruent",1,0.6260986
"4","flanker",0,7,"congruent",1,0.6560059
"4","flanker",0,8,"congruent",1,1.146973
"4","flanker",0,9,"incongruent",1,0.769043
"4","flanker",0,10,"congruent",1,1.287964
"4","flanker",0,11,"congruent",1,0.5360107
"4","flanker",0,12,"incongruent",1,0.9019775
"4","flanker",1,1,"congruent",1,0.7849121
"4","flanker",1,2,"incongruent",1,0.7800293
"4","flanker",1,3,"congruent",1,0.6339111
"4","flanker",1,4,"incongruent",1,0.9169922
"4","flanker",1,5,"incongruent",1,0.7659912
"4","flanker",1,6,"incongruent",1,0.7919922
"4","flanker",1,7,"congruent",1,0.7449951
"4","flanker",1,8,"incongruent",1,0.7719727
"4","flanker",1,9,"congruent",1,0.6369629
"4","flanker",1,10,"incongruent",1,0.7979736
"4","flanker",1,11,"congruent",1,0.9279785
"4","flanker",1,12,"congruent",1,0.6660156
"4","flanker",2,1,"incongruent",1,0.7659912
"4","flanker",2,2,"congruent",1,0.8029785
"4","flanker",2,3,"congruent",1,0.7648926
"4","flanker",2,4,"incongruent",1,0.6459961
"4","flanker",2,5,"congruent",1,0.657959
"4","flanker",2,7,"incongruent",1,1.19397
"4","flanker",2,8,"incongruent",1,0.7950439
"4","flanker",2,9,"congruent",1,0.7750244
"4","flanker",2,10,"incongruent",1,0.6750488
"4","flanker",2,11,"incongruent",1,0.7669678
"4","flanker",2,12,"incongruent",1,0.657959
"4","flanker",3,1,"incongruent",1,0.6650391
"4","flanker",3,2,"incongruent",1,0.743042
"4","flanker",3,3,"congruent",0,0.6640625
"4","flanker",3,4,"congruent",1,0.6939697
"4","flanker",3,5,"incongruent",1,0.6400146
"4","flanker",3,6,"congruent",1,0.6339111
"4","flanker",3,7,"congruent",1,0.5339355
"4","flanker",3,8,"congruent",1,0.7469482
"4","flanker",3,9,"congruent",1,0.6270752
"4","flanker",3,10,"congruent",1,0.7758789
"4","flanker",3,11,"congruent",1,0.7910156
"4","flanker",3,12,"incongruent",1,0.9000244
"4","flanker",4,1,"incongruent",1,0.7750244
"4","flanker",4,2,"incongruent",1,0.7750244
"4","flanker",4,3,"incongruent",1,0.7719727
"4","flanker",4,4,"incongruent",1,0.6760254
"4","flanker",4,5,"incongruent",1,0.7669678
"4","flanker",4,6,"incongruent",1,0.7609863
"4","flanker",4,7,"incongruent",1,0.6600342
"4","flanker",4,8,"congruent",1,0.7650146
"4","flanker",4,9,"incongruent",1,0.7550049
"4","flanker",4,10,"incongruent",1,0.7879639
"4","flanker",4,11,"incongruent",1,1.078003
"4","flanker",4,12,"incongruent",1,0.7779541
"4","flanker",5,1,"incongruent",1,0.7469482
"4","flanker",5,2,"congruent",1,0.6859131
"4","flanker",5,3,"incongruent",1,0.7940674
"4","flanker",5,4,"incongruent",1,0.8010254
"4","flanker",5,5,"incongruent",1,0.7709961
"4","flanker",5,6,"incongruent",1,0.7769775
"4","flanker",5,7,"incongruent",1,1.140015
"4","flanker",5,8,"incongruent",1,0.6750488
"4","flanker",5,9,"congruent",1,1.161011
"4","flanker",5,10,"congruent",1,0.776001
"4","flanker",5,11,"incongruent",1,0.6590576
"4","flanker",5,12,"congruent",1,0.7719727
"4","flanker",6,1,"congruent",1,0.7559814
"4","flanker",6,2,"incongruent",1,0.7819824
"4","flanker",6,3,"incongruent",1,0.776001
"4","flanker",6,4,"incongruent",1,0.8029785
"4","flanker",6,5,"congruent",1,0.8189697
"4","flanker",6,6,"incongruent",1,1.146973
